date,country,affiliate,usd_total,count_ftd,general_ltv
2025-10-31,Argentina,Diamond,200.0,0.0,0.0
2025-10-31,Ecuador,Roik,9195.0,34.0,270.44117647058823
2025-10-31,Ecuador,X Core,36522.0,46.0,793.9565217391304
2025-10-31,Ecuador,X37,3602.0,22.0,163.72727272727272
2025-10-31,Mexico,Backdoor,250.0,2.0,125.0
2025-10-31,Mexico,Diamond,26769.0,117.0,228.7948717948718
2025-10-31,Mexico,Roik,115.0,1.0,115.0
2025-10-31,Mexico,X Core,22478.0,90.0,249.75555555555556
2025-10-31,Mexico,X37,3659.0,16.0,228.6875
2025-10-31,Ecuador,Nlatam,15020.0,11.0,1365.4545454545455
2025-10-31,Mexico,Xpt,8982.0,33.0,272.1818181818182
2025-10-31,Peru,Digify,6794.0,0.0,0.0
2025-10-31,Peru,Direct,225.0,0.0,0.0
2025-10-31,Peru,Magic,2223.0,0.0,0.0
2025-10-31,Peru,Migration,8106.0,0.0,0.0
2025-10-31,Peru,Paragon,12240.0,0.0,0.0
2025-10-31,Peru,X Core,503.0,0.0,0.0
2025-10-31,Peru,X37,8455.0,25.0,338.2
2025-10-31,Peru,Xpt,7225.0,12.0,602.0833333333334
2025-10-31,Peru,Diamond,301.0,2.0,150.5
2025-10-31,Ecuador,Magic,13685.0,0.0,0.0
2025-10-31,Peru,Backdoor,100.0,1.0,100.0
2025-10-31,Ecuador,Diamond,21405.0,1.0,21405.0
2025-10-31,Ecuador,Golden,700.0,6.0,116.66666666666667
2025-10-31,Argentina,Direct,9301.0,0.0,0.0
2025-10-31,Argentina,Magic,20411.0,0.0,0.0
2025-10-31,Argentina,Paragon,450.0,1.0,450.0
2025-10-31,Argentina,X Core,19350.0,6.0,3225.0
2025-10-31,Colombia,Backdoor,451.0,3.0,150.33333333333334
2025-10-31,Colombia,Diamond,231319.0,12.0,19276.583333333332
2025-10-31,Colombia,Direct,11576.0,0.0,0.0
2025-10-31,Colombia,Golden,498.0,1.0,498.0
2025-10-31,Colombia,Bulk,313.0,0.0,0.0
2025-10-31,Colombia,Meeseeks,141030.0,53.0,2660.943396226415
2025-10-31,Colombia,Migration,66266.0,0.0,0.0
2025-10-31,Colombia,October Media,192.0,0.0,0.0
2025-10-31,Colombia,Paragon,85637.0,0.0,0.0
2025-10-31,Colombia,Roik,10172.0,0.0,0.0
2025-10-31,Colombia,X Core,18450.0,1.0,18450.0
2025-10-31,Colombia,X37,73218.0,63.0,1162.1904761904761
2025-10-31,Colombia,Xpt,4649.0,2.0,2324.5
2025-10-31,Colombia,Magic,2619.0,0.0,0.0
2025-10-31,Costa Rica,Meeseeks,2086.0,0.0,0.0
2025-11-28,Ecuador,Golden,1700.0,3.0,566.6666666666666
2025-11-28,Mexico,Bulk,500.0,0.0,0.0
2025-11-28,Ecuador,Xpt,3818.0,22.0,173.54545454545453
2025-11-28,Ecuador,X37,10571.0,0.0,0.0
2025-11-28,Ecuador,X Core,45441.0,42.0,1081.9285714285713
2025-11-28,Ecuador,Magic,13744.0,2.0,6872.0
2025-11-28,Ecuador,Paragon,350.0,0.0,0.0
2025-11-28,Ecuador,Nlatam,68500.0,0.0,0.0
2025-11-28,Mexico,Diamond,84990.0,21.0,4047.1428571428573
2025-11-28,Ecuador,Roik,6500.0,7.0,928.5714285714286
2025-11-28,Mexico,Paragon Q,310.0,0.0,0.0
2025-11-28,Peru,X37,17600.0,75.0,234.66666666666666
2025-11-28,Mexico,X Core,51459.0,61.0,843.5901639344262
2025-11-28,Mexico,X37,6206.0,0.0,0.0
2025-11-28,Mexico,Xpt,15725.0,37.0,425.0
2025-11-28,Peru,Diamond,12039.0,12.0,1003.25
2025-11-28,Peru,Magic,2048.0,0.0,0.0
2025-11-28,Peru,Meeseeks,2609.0,0.0,0.0
2025-11-28,Peru,Migration,704.0,0.0,0.0
2025-11-28,Peru,Paragon,7045.0,0.0,0.0
2025-11-28,Peru,X Core,4172.0,25.0,166.88
2025-11-28,Peru,Xpt,5173.0,20.0,258.65
2025-11-28,Ecuador,Frh,100.0,1.0,100.0
2025-11-28,Mexico,Roik,741.0,0.0,0.0
2025-11-28,Ecuador,Dm1,2100.0,6.0,350.0
2025-11-28,Colombia,Roik,10647.0,2.0,5323.5
2025-11-28,Ecuador,Backdoor,550.0,4.0,137.5
2025-11-28,Ecuador,Diamond,1428.0,2.0,714.0
2025-11-28,Argentina,Backdoor,253.0,1.0,253.0
2025-11-28,Argentina,Direct,19745.0,0.0,0.0
2025-11-28,Argentina,Magic,1663.0,4.0,415.75
2025-11-28,Argentina,Meeseeks,326.0,3.0,108.66666666666667
2025-11-28,Argentina,Paragon,4274.0,0.0,0.0
2025-11-28,Argentina,X Core,23784.0,20.0,1189.2
2025-11-28,Argentina,X37,3768.0,22.0,171.27272727272728
2025-11-28,Colombia,Backdoor,719.0,6.0,119.83333333333333
2025-11-28,Colombia,Bulk,2775.0,0.0,0.0
2025-11-28,Colombia,Diamond,239311.0,12.0,19942.583333333332
2025-11-28,Colombia,Direct,13604.0,0.0,0.0
2025-11-28,Argentina,Roik,315.0,2.0,157.5
2025-11-28,Colombia,Magic,208.0,0.0,0.0
2025-11-28,Costa Rica,Meeseeks,500.0,0.0,0.0
2025-11-28,Colombia,Dm1,250.0,1.0,250.0
2025-11-28,Colombia,Xpt,5229.0,16.0,326.8125
2025-11-28,Colombia,X37,53262.0,34.0,1566.5294117647059
2025-11-28,Colombia,Paragon Q,56288.0,0.0,0.0
2025-11-28,Colombia,X Core,7363.0,0.0,0.0
2025-11-28,Colombia,Paragon,48576.0,1.0,48576.0
2025-11-28,Colombia,Nmigration,1017.0,0.0,0.0
2025-11-28,Colombia,Migration,66592.0,0.0,0.0
2025-11-28,Colombia,Meeseeks,213117.0,28.0,7611.321428571428
2025-12-03,Ecuador,X Core,2450.0,3.0,816.6666666666666
2025-12-03,Mexico,Diamond,2909.0,6.0,484.8333333333333
2025-12-03,Ecuador,X37,1000.0,0.0,0.0
2025-12-03,Ecuador,Xpt,350.0,2.0,175.0
2025-12-03,Ecuador,Magic,2790.0,0.0,0.0
2025-12-03,Mexico,Roik,260.0,1.0,260.0
2025-12-03,Peru,Diamond,100.0,1.0,100.0
2025-12-03,Mexico,Xpt,100.0,1.0,100.0
2025-12-03,Peru,Backdoor,140.0,1.0,140.0
2025-12-03,Peru,Meeseeks,100.0,1.0,100.0
2025-12-03,Peru,X Core,1934.0,3.0,644.6666666666666
2025-12-03,Ecuador,Backdoor,100.0,1.0,100.0
2025-12-03,Mexico,X Core,4951.0,10.0,495.1
2025-12-03,Colombia,X37,6189.0,3.0,2063.0
2025-12-03,Argentina,Meeseeks,170.0,1.0,170.0
2025-12-03,Colombia,Paragon,6878.0,0.0,0.0
2025-12-03,Colombia,Migration,7193.0,0.0,0.0
2025-12-03,Colombia,Meeseeks,33329.0,4.0,8332.25
2025-12-03,Colombia,Direct,9137.0,0.0,0.0
2025-12-03,Colombia,Diamond,6219.0,1.0,6219.0
2025-12-03,Colombia,Bulk,500.0,0.0,0.0
2025-12-03,Argentina,Meeseeks,150.0,1.0,150.0
2025-12-03,Argentina,Chile,150.0,1.0,150.0
2025-12-03,Argentina,X37,1033.0,5.0,206.6
2025-12-03,Argentina,X Core,1963.0,2.0,981.5
2025-12-03,Argentina,Roik,100.0,1.0,100.0
2025-12-03,Argentina,Magic,557.0,0.0,0.0
2025-12-03,Argentina,Direct,3071.0,0.0,0.0
2025-12-03,Peru,X37,585.0,4.0,146.25
2025-12-03,Colombia,X Core,1534.0,0.0,0.0
2025-12-03,Peru,Xpt,242.0,1.0,242.0
